Sentiment,
positive,"BJP believes in """
negative," Jammu BJP has a problem with the Army as well! They don't want justice to prevail in Kathua, they don't care for Army r"
negative,As if BJP people have not done character assassination at all. Learn to take the shit when yo
negative,Modi Govt may submit draft to SC to seek more time to complete Govt formation in Karnataka.
positive,In Modi's term in the name of Average monthly balance fine gas subsidies were loote
negative,Pls THINK over it else we Will say THANKs to BJP next year.
positive,BJP MADE A BLUNDER MISTAKE WE CAN ALSO SAY IT AS STRATEGIC MISTAKE WHICH ENHANCES c
positive,"On a twitter stroll. Being anti RSS, anti BJP is fine. Criticizing hinduism, absolutely. But being anti hindu, how $NUMBER$"
positive, CBI confirms rape charge against Unnao BJP MLA Kuldeep Singh Sengar
positive,Correct. Times now always supporting bjp only.
positive, .. slams Modi again
positive, And all ruled states dragged down India on Poverty Index. But the trembling fact is that BJP has becom
positive,It has been said that bjp vote share is concentrated and not spread out.
positive," Good job Divya, your twitter handle has become synonymous with the Congress. Well done, contin"
positive,Battleground Karnataka- Neerja Chowdhury See Enthusiasm Of BJP Winning Karnataka To Help In MP &amp; Chhattisgarh
positive,Congress (Plus / Minus ) Seats
positive,MUMBAI The satta bazaar is shortening the odds on a BJP
negative,And you ask why do Muslims don't vote for BJP! And you pretend that Triple Talaq bill was a life changing one. Why
negative, Hi sir congratulations for winning Karnataka back again. I m percent you will win it.
positive,More survey on Modi
positive,Not a single Modi laid policy implemented so far.
positive, So much for Narendra Modi's claims of total electrification.
positive, Bhandara-Gondia bypolls MP Nana Patole abused Modi &amp; left BJP. Pappu inducted him in Con-party. Now Patole is denied Con-par
negative,why is Modi not stopping this if Indira was alive she would single handidly stop this storm
positive, He tweets about Assassination of PM Modi...
negative, Has any party other than BJP won elections in the recent past?
positive," By deriding , PM Modi proves he is rattled by him. $NUMBER$"
negative, Titles like Father of Terrorism is a shame to our system when the Party with Difference BJP ruling the country and almost a
positive," Hate r PM hs made ppl get basic human decency s mentor ,who hs previously rooted r PM Modis assassi"
positive,"Prime Minister Modi, except for the preparations for the forthcoming elections in , should also giv"
positive, So even Times Now VMR has updates their numbers from to for BJP. Cong down from to . So now only Axis is g
positive,Why Did chose only her letter and daughters/children of RSS/BJP/Hindu Workers?
positive, FIR has been registered against serial offender for agitating people against PM Modi &amp; RSS by using derogatory word
positive,"Before the counting day, my th sense tells me, BJP will get a comfortable majority on its own and will not have to"
positive, Nirav Modi Moment; leaders seem to be enjoying perks of Looto Jan Dhan Yojna launched by Govt for thei
negative," So Nepali newspapers are saying, thousands of Biharis were sent across the border, to show good attendance at Modi's pub"
negative, Narendra Modi does not want us to judge him on basis of failed Demonetization &amp; sloppy GST of but he wants us to judge
positive, | Yeddyurappa says will give in writing that BJP will get absolute majority
positive,True...He should be fired by BJP..Were Priyanka..When it comes to nation..Common man does forget diffe
positive,Communism is no good. But neither is BJP or Congress!
negative,shame on u for patronizing her if BJP looses it will all because of u. increase talab to lacs
positive,Whatz the Status ??what about Modi's tw
positive,Nirav Modi Moment; leaders seem to be enjoying perks of Looto Jan Dhan Yojna launched by Govt for t
positive,Power ka nasha HAI BJP supremo not seeing
positive,BJP MLA now has a confirmed rape charge against him after CBI investigation.
positive,Nirav Modi's US firms got Rs cr PNB remittances..
positive,Battleground Karnataka- Neerja Chowdhury Voters Might Come Back To Modi In Due To Lack Of Better Alternative
negative,Bulls may come out in full force if BJP wins Karnataka..
positive,"Battleground Karnataka- Neerja Chowdhury If PM Modi Swings Karnataka, He Is Well Placed To Win Election"
positive,Neither Modi nor Yogi.
positive,civilizations in book site troubles Sharif for meeting Modi C
positive,Battleground Karnataka- Neerja Chowdhury BJP Facing Years Of Anti-Incumbency MP &amp; Chhattisgarh
positive,Now Congress &amp; their slaves must find
positive, Yes indeed Nawaz Sharifs Brain has been hacked by Modi &amp; Ajit Doval who replaced it with Cow Dung ..
negative, How is the Modi govt botching up the RTI Act?
positive, If I was your mother I'd wash that mouth of yours soap. If my sons treated women or were as disrespectful as this BJP Netas
negative,"I don't want BJP to win the election, I want them to sweep and that too like a legend"
positive,"The NDA will return to power with a majority, and Narendra Modi will have his second term as prime minister, Pasw"
positive, Time to think.Can BJP answer this.
positive,Why BJP ruled states didn't performed well?
positive, Chalo Musalmano ka to samajh me aata hai but why do Pastors hate BJP ?
positive, BJP Members Detained in Assam After Recovery of Flag Asking People to Join ISIS via
positive,"Ab bhi sudhar jaao, spreading hatred will cost your job, BJP can only give, Pakoda, paan job,as altern"
positive," BJP leaders firm that bought Nagrota land owes Rs $NUMBER$ crore to J&amp;K Bank, account NPA C via"
negative,BJP want % total
positive, I wud request to twitter plz suspend his id Shri Narendra modi ji is o
positive, Modi Govt successes
positive,I am no supporter of BJP but then you are giving a very skewed logic to prove a political point.
positive,This is the true face of Modi Sarkar. Cant even take our liberals.
positive,What are the chances of bjp
negative,BJP forming government in Karnataka Amit Shah
negative,PANAJI BJP president Amit Shah today asserted the pa D
positive,Income Tax lens on top buyers of Nirav Modi jewellery via
positive, Fingers crossed. Still. BJP will sail through. That's for sure!
positive,It will not be a surprise to see the BJP romp home easily wit
positive,That's the problem with BJP.. Only Gas No Fire... D
positive,"The BJP Karnataka Manifesto, inspired by Narendra Modi, is a poorly crafted fantasy built around a weak"
positive,RSS is now threatening the authorities... This ensures that the first BJP mined is now also RSS... Resembled is a c
positive,Though I aint no BJP enthusiast but but theres a general affinity for hitler in
positive,"And yet, these offenders are the ones who claim there's no freedom of eression under Modi regime.. not so funny, isn't it?"
negative," If congress gets the power in karnatak, one thing is sure that, in Goa present BJP government will not survive."
positive,"Why do you whine sometimes about dominance of non-Bengalis of BJP in Bengal and object to use of ""ji"" d"
positive,Lens should be on Nirav Modi rather any chance of even knowing where is he?
positive, In Pics | From Heeraben Modi To Nita Ambani Moms Who Are Actually Supermoms | D https
positive, Modi and Amit Shah watching results.
negative, Our karyakartas have worked tirelessly for last few months with one aim of bringing a stable &amp; strong BJP government in
positive,Modi &amp; Yogi were supposed to bring Tsunami to Karnataka.
positive, Bjp Corporator Pradeep Ramchandani Caught On CCTV Footage Robbing PWD File From Ulhasnagar Municipal Headquater
positive,"There may be goons in BJP, but AAP leadership constitutes goon. What about that?"
positive,actually enjoys this kind of filth. Had this bees done by any Modi suppor
negative,"in para , she does say modi-son of a tea seller. Bu"
negative, All three states he mentioned are non bjp Govt... why did this Pappu ask his wo
positive, I am scared to think beyond May  because of possible scenarios are nightmares for BJP:
negative,) BJP win ) Cong+JDS
positive, Skeletons on congress coming out slowly
positive,Need Modi Govt at centre in
positive,Karanataka elections results  Congress. :126 to . And BJP :51to . Nd JDS :21to
negative,Absolute Must watch on Modis lies about &amp; obsession with Nehru.
positive," Karnataka elections saw Modi take political discourse to a new low, writes via"
negative, Congress failed all tests of decency &amp; morality when you all coined the word Hindu Terror after /11 A
positive," As BJP's war machine is surging ahead, Karnataka CM Siddaramaiah is trailing in Chamundeshwari constituency, reveals India"
positive,no one will listen.they are all the same boy. Congress now bjp.
positive, Modi gives press conference:
positive, even if there is some collateral damage to the BJP on this I am sure the public will forgive and give
negative,Modi government is giving subsidies to Amarnath yatra and Kailas
positive,"If Cong wins,win because of siddaramaiah"
positive,"If Cong losses,loss because if RG"
positive,India PM Narendra Modi ranked among Top World leaders.
negative,I love Sushma Ma'am so much. Best minister in Modi cabinet. Long live ma'am.
positive,Nirav Modi and Mehul Choksi both are scam gang members of feku he helped them in order to flee Ind
negative,They have been hired to sell BJP and Modi to the country
positive, It's my challenge to Mr. Modi- can he continuosly speak for just four minutes as to what he has done on the following
positive,"CBI to charge Allahabad Bank CEO Usha Ananthasubramanian, others in Nirav Modi scam:TOI"
negative," BJP is the new Congress. Will do whatever it takes to stay in power. Like their supporters, no principles le"
positive,"Bhakts are like awww we are so naive,helpless and so innocent.. Why are the people so anti-modi, can't they show so"
negative,"Fascist feku, India Prime Madman PM, delivers to honour &amp; safety of females ! BJP govt in Centre &amp; in R"
positive," Before the counting day, my th sense tells me, BJP will get a comfortable majority on its own and will not have to depend"
positive, PM Modi talks with PM Oli were productive. New vigour has been added to India-Nepal relations through this visit. PM
positive,"Out of major parties- Shiv Sena, BJP, Nav Nirman Sena, Cong n AIMIM"
positive,Cong must hv backed AIMIM
positive, Now listen to this moron who declared Modi is completely irrelevant to India's woes &amp; problems.
negative, With % voting same as last time one shld see a majority Govt in Karnataka &amp; natural trend shld mean a BJP govt with comfor
positive,"Six predicting that BJP will be the single largest party, three are vo"
negative,"most of the media houses have forget the chidambram's case, I guess, what if any of the BJP member have su"
negative,"Indeed, if BJP crosses tomorrow... I fear we will see Deve Gowda with Congress in no time in a bid to save ""secularism."""
positive,Modis Nepal visit had messages- India will use religion/culture to deepen ties; it is telling Nepal your politic
positive,"Six predicting that BJP will be the single largest party, three are vouching for"
positive,"Hey Mona you pretty girl. Not INC, it's BJP doing the fakenews thing. Your so innocent to fall"
positive, President of Nepali Congress and former Prime Minister Mr. Sher Bahadur Deuba and other members of the Nepali Congress cal
positive,JDS as junior partner is OK .no term change chief minister. Bjp will have its cm till full term
positive,"I visited blr one centres twice in past months to get card, asked a bjp friend too for help, didn"
positive," Stellar piece by Next time anyone throws that % Indians voted against Modi statistic at you, throw this d"
negative, Buzz from less privileged voters in Bangalore is a bigger Congress vote in their areas than . My cook tells me ground lev
positive, Neither Modi nor Yogi.
positive,I think bjp JDS alliance hi banega
positive,BJP IT cell
negative,Means BJP won't be able to win Karnatka
negative,Actually Amit Malpua's govt first they will take permissions from Rahul Gandhi...becoz
positive,% turnout - Higher turnout is always bad for incumbent .favours BJP
positive,The storm before Karnataka Election Result for Modi &amp; Yogi in UP
positive, More survey on Modi
negative,Our Bjp govt is saying they are against corruption
positive, Say Thanks to Modi Sarkar!
negative,None of the Avengers died under Congress rule. Guess what happened when BJP came to power.
positive,"Ya That leader will soon join Bjp, and he will be purified"
positive,Might be failure of BJP ...
negative,Then high time bjp and it's CMs get a backbone... We didn't vote for them to go spineless...
positive, Lalu is an ideology. U conspired u sent him to jail but u r still scared of him. Bjp and jdu still jittery. Its not the
positive,What the hell BJP persons are doing why any action is not taken against him His comments a
positive, Each stone will cost millions of votes for BJP. TDP is unaware of this shameful act.
positive,PM Narendra Modi world's one of the most powerful celebrities II Asal... via
positive," Vedanta's Nand ghar is hosting women, men and children from Kakrahia village who are waiting to listen PM Modi's"
positive,"Poor, uneducated gor congress and rich, educated for bjp"
positive, Modis Nepal visit had messages- India will use religion/culture to deepen ties; it is telling Nepal your politics is yo
positive, Sangi pareshan Bjp will be eed badly after th result
positive, Who can identify the man wearing blue seated next to BJP honcho of Assam? Publish name and his identity if you know
positive,"Yee, If BJP looses Karnataka - Communal riots for sure especially in South India, unleash hatred in the"
negative, My piece in the ToI today Congress' Liberalism not Secularism Main Opposition to BJP
negative,Why did you get a quote from that more n who attacked Modi than Pakistan? Litmus test for Modi w
negative, Very Vibrant Canvassing constituency with honourable minister TN BJP president http
positive,more Political Party offices including two of the BJP demolished in Tripura
positive,Your pain is understandable as Mr Modi is legitimate child of his parents unlike you.......
positive," Salute to Modiji for his spirit of discipline, patience and tolerance."
positive,Congratulations
positive," ""DO NOT VOTE FOR BJP OR THESE MUSLIMS AND DALITS WILL START MIGRATING TO SOUTHERN STATES AND WE KNOW HOW TRAGIC THAT IS, INNI"
positive,I am hearing news that a BJP worker from South Bangalore has been beaten up and admitted to hospital. Waiting for confirmation.
positive,Well..I feel youre working for BJP.. just like owaisi...such tweets help BJP to gain more votes...good job
positive," Nawaz Sharif speaking Modis language to protect ill-gotten wealth, says Imran Khan"
negative,"Majority came or not, BJP form government and End of Congr"
positive,"Great work by BJP , now reduce tax burden of salary class or abolish tax on salary class citizens of India"
positive,"Nuns visit to Srirangam temple BJP, Hindu outfits file complaint"
positive, your company you keeps talks a lot about you and Modi ji too !
negative," Indeed, if BJP crosses tomorrow... I fear we will see Deve Gowda with Congress in no time in a bid to save"
positive,Present attempt by Modi Govt is better than most of the earlier inclusive tamasha tried
positive,The attack on sir &amp; bu Amit Shah sir is a clear indication of the BJPs inability to form a
negative,simple for the same reason CPI(M) party men kill BJP PARTY MEN BUT IT NEVER MAKES TO THE HEADLINES OF
positive,People haven't forgotten the Gandhi. They won't forget Modi as well.
positive,"Wake Up Hindus! For a developed India, people like Tharoor, Pappu. Mamata, Mulayams, Lalus &amp; Communists s"
positive, Country not safe in BJP's hands Shashi Tharoor - Times of India
positive,Modi on Bangladeshi hindu and it's resettlement in electi
negative,BJP secy Rammadhab today made his stand clear. Seems like rather than wellbeing of Indian citizens ( Hindu+non Hind
positive,why every1 predicting less no of seats for BJP in the old Mysore region?
positive,BJP rules the India..
positive,Best defense Minister ever she defends bjp.
positive,BJP fights elections on Bhartiye Jantas issues. BJPs slogan is Sabka Saath Sabka Vikas. Shri Modi j
positive,"BJP-100, Congress-90,JDU-30, Others-2"
positive,Why they are favouring so much in favour of BJP .. any ideas ?
positive,"Wake Up Hindus! For a developed India, people like Tharoor, Pappu. Mamata, $NUMBER$"
positive, What they fail to realize is that such abuses make Modi grow even faster. But it shows their upbringing.
positive, Modi Government has gone to shit.
positive,Just imagine if BJP does this in BJP rules state. would go crazy. Par abhi Guptaji gayab hai.
positive, On PM Modi's allegations of election rigging - 'A man says what is inside his heart':
negative,See axis poll data coastal Karnataka BJP vote share is percent means sweep
positive,"Some glaring error .. if bjp is getting some % of non kurba OBC'S then game , set and match to th"
positive,India-Nepal ties scaled 'new heights' after Modi visit KP Sharma Oli - $NUMBER$ :
positive,"Wake Up Hindus! For a developed India, people like Tharoor, Pappu. Mamata, Mulayams, Lalus &amp; Communists $NUMBER$"
positive, RT narendramodi Saddened by the loss of lives due to storms in some parts of the country. Condolences to the bereaved
positive,The modi who confesses that he is behind Balochistan and every conspiracy against Pakistan our p
positive," What an amazing response to the question When will you bring back black money, Lalit Modi, Nirav Modi and Vijay Mallya? ."
positive, I am hearing news that a BJP worker from South Bangalore has been beaten up and admitted to hospital. Waiting for confirmati
negative,Wondering how Modi manages to win every election? We list out the reasons for his near perfect record
positive,ETRetail | Income Tax lens on top buyers of Nirav Modi jewellery
positive, Video | The PDP-BJP Alliance in J&amp;K Is a Total Disaster Former RAW Chief AS Dulat - The Wire
positive,Mr. Modi - This stone pelting is equally worrying.
negative," Hey BJP, you can't win Karnataka by insulting Karnataka..."
positive,Congress
negative,BJP President Amit Shah on Sunday asserted the party would form the next government in Karnataka.
positive,Modi ji burnt Muslim in Gujarat roit. He is still out.
positive,"Modi is also serial offender, if you remember The Lie Lama."
negative,Usually in triangular or multiangullar contest BJP wins with good margin. Be
negative,Because they want Employments for themselves not a Tiles with Pics of Shivraj&amp; Modi on their Door/Wall
positive,On congress ticket only.We are not interested in him.He has lost his mental status.H
negative,Shem on modi govt
negative," Based on Salmans Black Buck &amp; BJP MLAs Unnao Rape Case, the people of India should really tr"
negative,BJP National VP from Thane is following steps of Great leader. In years his travel milage is better
negative,"Based on Salmans Black Buck &amp; BJP MLAs Unnao Rape Case, the people of India should reall"
positive," Parliament session of Virginia, USA started with our Shlokas. RSS / / Bjp and their agendas right?"
positive,Like = Congress
positive,"Wake Up Hindus! For a developed India, people like Tharoor, Pappu. Mamata, Mulayams, Lalus"
negative, See axis poll data coastal Karnataka BJP vote share is percent means sweep
positive,"Had Sanghis been in Hawai &amp; Modi been Prez, Honourable Geokell"
positive,KarnatakaElection2018
positive,Modi-Hatred Vs Dynasty-Love
negative,Media during Congress UPA rule had almost become part of government when likes of Barkha Datt arranging portofolios
positive, India ready to be 'Sherpa' to help Nepal scale mountain of success PM Modi
negative,Just don't fool us further sir. It's blatantly evident that BJP is corruption savvy to the c
positive, Undoubtedly we need BJP govt at the Centre .
positive," There are the six evils that the Congress has brought on the nation - Congress culture - Communalism, Casteism, Crime,"
positive," According to exit polls, BJP is losing on NDTV, Winning on Republic, kuch bhi on Times now, Masterstroke on Zee News and de"
positive," Absolute Must Watch This press conference of Rahul Gandhi. An eye opener for people who call him Pappu. He calmly, coherent"
positive,We should also mention that Bhalla sor predicted BJP loss confidently in Bihar ...
negative, BJP President Amit Shah on Sunday asserted the party would form the next government in Karnataka.
positive," Wake Up Hindus! For a developed India, people like Tharoor, Pappu. Mamata, Mulayams, Lalus &amp; Communists should"
positive, Modi wave has completely collapsed'
positive,The strange thing about the is that the looks more like Congr
negative, Whatever happens. CON PR and social media game has matched BJP for st time. Kudos to agency and to Divya/Ramya (i g
positive,But sir he is a BJP Mp and he should have loyalty towards BJP. He is not showing loyalty towards BJP
positive, I agree with you... Modi Govt should have thrown ppl like you since long back.
negative,"Shows this guy's upbringing.. or rather the lack of it. However much you may hate Modi, choice of words"
positive,Seriously . She lied on the floor of the house. One of the vilest ministers on modi cabinet. No w C
positive,The BJP is special in spreading lies.
positive, None of the Modi haters have sex on Election Day in any of the states. Because if they press anywhere to their partner
positive,Retweeted Congress ():
positive,"Modi's Rafale deal-a loss of ,632 Cr."
positive, BJP MLAs took out a rally in support of the rapists in Kathua in J&amp;K. The rapists had raped a minor Asifa.
positive,Pro-Life when it's BJP govern state. Why should we bother to
positive,Sri Siddu has done lot of public supporting work. BJP omly telling lies and abusing including so called
positive,"Ok, so Nirav Modi gets free but the buyers will be penalized?"
negative, BJP government discontinued more than government schools in chhattisgarh.
positive,"What about LOKkPAL, even after sp court order Modi hasn't done anything in this direction."
negative,"Shashi tharoor says BJP is not fit for country to rule then who Congress, g,cwg,coal,Adarsh, Augusta and so on, b"
positive,"Narendra Modi has lost the boardroom, says . Read the column:"
positive,"Chidambaram didn't disclose its investments to tax authority, violating Black Money Law, which was brought by Modi"
positive,You stupid people think BJP and congress are competitors in karnataka
positive,In the Congress Govt BPO /CALL CENTRE provided job opportunities.
positive,In the BJP GOVT TROLL CENTRE
positive, Mega exit poll says BJP will sweep Karnataka! Dumdaar performance by the Kaamdar BJP in Karnataka
positive,"Yes sir. False charges levelled on you can only hide their inability to deal with Modis, Mehrul Bh"
positive,"Sir, BJP search should end as I volunteer to become their Rajasthan Chief ."
positive,"In an interview to HT, speaks about PM Modis style of functioning, the relationship between the RSS DDU"
negative, When PDP ministers indulge in corruption they do big time scam. BJP ministers notorious for lowly corruption because all
negative, Media during Congress UPA rule had almost become part of government when likes of Barkha Datt arranging portofolios of choi
positive," What about LOKkPAL, even after sp court order Modi hasn't done anything in this direction."
positive," Ok, so Nirav Modi gets free but the buyers will be penalized?"
positive," A rare photograph of Shri Narendra Modi delivering home cooked food and tea to Bhagat Singh at Central Jail, Lahore (1928)"
positive,No consistent numbers from and both BJP and Congress are confident to form their govt.
positive,Modi is a Pokemon. Keeps evolving hahaahaha
positive,"BJP Leaders Are Tensed On Poll Results &amp; , But Yeddyurappa Is Confident On Taking Oath As CM via"
positive,Half the bjp leaders are fattus. But we don't have any other option
positive," In an interview to HT, speaks about PM Modis style of functioning, the relationship between the RSS and the B"
positive," BJP gives seats to the infamous Bellary mining mafia Reddy brothers family in Karnataka. So much for 'Na Khaonga, Na Khane"
negative," West Bengal panchayat polls today From Trinamool winners to BJP contenders, Lalgarh holds its breath"
positive, PM Modi might just create a history with his history goof-ups. His statement on Dr Ambedkar's election to the Constituent Ass
negative,I hope you vote for BJP becoz you ex cm already accepted the defeat .
positive,The Cursing taunting blaming instigating brigade of Modi normally remains shut on cru
positive,"BJP Leaders Are Tensed On Poll Results &amp; , But Yeddyurappa Is Confident On Taking Oath As CM"
positive," Smt. Sonia Gandhi PM Modi's oratory skills alone can't fill hungry stomachs, employ the unemployed, cure those suffering fro"
positive," ""I have been visiting temples, mosques, gurdwaras...But whenever I enter a temple, it deeply disturbs the BJP because they se"
negative,Sahi bat hai cheafminister sir is a very good but bjp losed to karnataka
negative,"Based on Salmans Black Buck &amp; BJP MLAs Unnao Rape Case, the people of India should re"
negative, Why TMC is so scared of BJP and did everything possible(TMC workers+ police+ SEC) to stop BJPs nomination for Panchayat?
positive,"Yes its possible in BJP thats why we see an increase in thuggery, rape, lies, h"
positive,You forget to blame it on modi
positive," Yes he is right, All Exit Polls are published based on the choice of BJP Minister or Modi Amith sha to fool the voters.But vot"
positive," Women voters in Karnataka prefer Congress over BJP, reveals India Today-Axis My India exit poll"
positive,Forming the SIT by Modi at the very first cabinet meeting was GREAT. But the failure of G and Maran cases and the
positive,"BJP at center,still this Jehadi's r free."
negative,Taking always Narendra Modi government is show the frustration in media houses. Even they avid broadcasting
positive,They also predicted a + seats for the BJP in Guja
negative,They'll be rewarded for distracting people from major mistakes of BJP .
positive," Horrible, this guy is and was a snake. He dumped BJP in too. He backstabbed his father in law in . He should"
negative," and, Commiserations to long time members of AP BJP. You now have to work under a ""dried in the wool"" congressi who joined u"
positive,No Country in World has re-elected d Govt which introduced GST &amp; Malaysia is no exception. Fate of Modi?
negative,This is great ....BJP will get clear majority....
positive,Shame that Properties of BJP leaders and Businessmen close to BJP are both under NPA and are in areas that are secu
positive, Modi service centre started in yet another village in Salem. Youth of the village have joined the movement. As I elained
positive,And BJP claims there is no intolerance under their rule?
negative," Over a lakh people turned up to listen to PM Modiji yesterday in Janakpur, Nepal. Occasion was an official civic receptio"
negative,"Blatant communal politics, appeasement at its peak. He's paving bjp's way."
positive," There are modes in a mobile phone, work mode, speaker mode &amp; airplane mode. Modi Ji only uses speaker mode &amp; airplane mode, he n"
positive," Yes its possible in BJP thats why we see an increase in thuggery, rape, lies, hate speeche"
positive,"India-Nepal ties After Modis religious visit, a scan is ringing the bells."
negative, No Prime Minister in our country has used the Office of the Prime Minister to say things about his opponent that Mr Modi has been
negative, Aren't they all?? All BJP govt in every step take one step forward and two step backwards. These land
negative,Dolt economists are suspecting change in base year for IIP and GDP as some conspiracy by Modi govt.
positive,Oh! Was it a BJP bomb?
negative," Honestly, this summarises BJP govt in every state they rule. It's big on talks and phuddu in action."
positive,"BJP leaders firm that bought Nagrota land owes Rs $NUMBER$ crore to J&amp;K Bank, account NPA C9 via"
positive, Retweeted Karnataka Congress ():
positive,I would like PM Modi to visit Indira Canteens in Karnataka and replicate
positive, MLAs from BJP took out a rally in support of the rapists in Kathua in J&amp;K. The rapists had raped a minor Asifa.
positive,I liked a video Ram Jhethmalani Eing BJP Government
positive,"Bhakt.. hatred landed trouble, Hope BJP will give him Pakoda or Paan shop."
positive," All India Trinamool Congress (TMC) worker Anarul Mita suffered bullet injuries in an attack in Cooch Behar's Dinhata, admitted to"
positive,"BJP is regressively, blatantly"
positive,I added a video to a playlist Yoga with Modi  Vakrasana Hindi
negative, Dolt economists are suspecting change in base year for IIP and GDP as some conspiracy by Modi govt.
positive, Like = Congress
positive," Bastards like these are so miserable, they can't think of their mother on without having to whine about Modi h"
positive," India-Nepal ties After Modis religious visit, a scan is ringing the bells."
positive, Video | The PDP-BJP alliance in J&amp;K is a total disaster Former RAW chief A.S. Dulat $NUMBER$ |
positive, PM Modi is deliberately confusing Karnataka voters with his bombastic speeches on non-issues. All hot air &amp; no substance.
positive,PM Modi's foreign visits CIC to Air India
positive, more than Karnatka it is UP which will turn the table on BJP and it is happening
negative, This is great ....BJP will get clear majority....
positive,"Who will be the next pm contender for next Pm from Bjp, Modi is failure, we must know next option."
positive, And BJP claims there is no intolerance under their rule?
positive,"Siddaramaiah says this will be his last election, OK if Congress picks"
positive,That was always known..same with pappu account..it dsnt represent who they r..contrast it with modi-same in virtual c
positive,India not safe in BJPs hands as nation cannot be built on divides:
negative,"if u get time from Nehruji and Congress, pay attention on Ganga. It flow after Banaras also."
positive,BJP is always.. Thanks for showing her YALE degree
positive,Has Narendra Modis visit put India-Nepal relations back on firm footing?
negative,nothing new here. bjp is known for its leaders who aid and abet fugitives who f
positive,I added a video to a playlist Yoga with Modi  Shashankasana English
positive," MASSIVE VOTING IN RURAL KARNATAKA DROUGHT, FARMER DISTRESS going to finish off CONGRESS"
negative,Shame on you man. What loss modi did for u in yrs? Doesnt look your name is Ram.
positive,Exit Polls To Vex Indian Markets As Majority Seen Eluding Modi via BloombergQuint
positive, Listen mr its bcoz of congress love for muslim bds n modi's promise of wiping out bangladeshis if they come
positive," But won't Do ,this account of Modi bhakt Ex Major who is Racist and abusive still ac"
positive,PM Modi always gives false statements in every speech.
positive,Now BJP leader Mr. openly admits that there is an understanding between BJP and CPIM in Bengal. We have be
positive, BJP IT Head doesn't even know that Shri Nijalingappa was a Lingayat and not a Dalit.
positive," When BJP said congress mukt Bharat, they meant to replace congress party not congressi traditions a"
positive, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor
positive,"Sir , you didn't end with corruption , you saying Telengan, so You BJP are racist and unfit to rule"
positive, If BJP has any guts it shd settle Bangladeshi Hindus from Assam in Bengal . Only when th
negative," PM Modi goes all out to win hearts, Nepal foreign minister says ties at new high"
negative, No Modi or Amit Shah will save you guys. I request the RSS/BJP to stop this hate mongering. You guys have ruined many liv
positive, India ready to be 'Sherpa' to help Nepal scale mountain of success PM Modi
negative,Or atleast Ministry of Cleanchit for corrupt people joining BJP from other parties
positive,Narendra Modi An Astute Politician or just a Bad Student ofHistory.
positive,Than why Bjp not taking any action apart from doing politics $NUMBER$
negative, PM Modi is a Sapno Ka Saudagar who only sells dreams to mislead the people of this Country. He is the first Prime Minister
positive," India not safe under Narendra Modi led BJP govt ,says Shashi Tharoor"
positive,"Hand picked by BJP interlocutor for Kashmir, now in hiding as Jammu Dogras begin to suffer the same fate as the Pan"
positive,"Hindus, Vote for BJP"
positive," Youth, farmers, unemployed, businessmen, women and employees in MP have anger and resentment against the BJP ... people"
positive,Now In just few Hour The BJP's IT Cell is Going
negative,How can you trust RSS Modi that don't treat thei
positive,He has been abusive and given death threats to Modi ji before also. Please dont give any warnings to him and take action.
negative,Such FOOLS in Power are the trouble creators in a BJP ruled Democracy.. If he thinks he can start silly Campaign
positive,BJP is going to sail through smoothly
positive,"You need not worry Sir. You are always in the ruling front, whether it is Congress , BJP, or even the communists.Your berth is always booked"
positive," When the campaign started, congress claimed PM modi ji as an import, and finished the"
positive,President Xi and PM Modi jointly called for their armed forces to prudently manage their differences.
positive, Now BJP leader Mr. openly admits that there is an understanding between BJP and CPIM in Bengal. We have been saying t
positive,"Gaurav Ji, , ! No need to waste your energies on these scumbags. Modi Ji doesn't c"
negative,"Vaishno Devi to Bhairo Ghati track, ropeway gets ready ahead of inauguration by PM Modi"
positive," This Amit Shah is like a comedy show and Narendra Modi's image has drastically declined, his speeches are completely hollow and ha"
positive," At one time, BJP workers celebrated saving of security deposits Amit Shah"
positive, Mr. Modi - This stone pelting is equally worrying.
positive,"over now Test for BJP in Rajasthan, Chhattisgarh.. LOL!"
positive,"THT- Meeting with Modi positive, says PM"
positive,"(Shri Narendra Modi on April , )"
positive,It's confirmed. Bjp will win. CSDS always wrong
negative, PM Modi should tell the people of Karnataka about his plans for the state. Personal attacks won't win him votes  Congress Pr
negative," PM Modi goes all out to win hearts, Nepal foreign minister says ties at new high"
positive," If it is for JDS as shown by Modi media, then take it for granted it is landslide for Congress"
positive,...and no outcry in MODIa (media) off course bcz it is a bjp ruled state. Imagine if such thin
negative, Karkala BJP Sunil Kumar Nomination...look at the crowd...never seen such a huge people gethered in procession.
positive, The selection of Mr Kanna as AP BJP president show's the desperate position of the party and it's president Mr
positive, India not safe in BJP's hands as nation cannot be 'built on divides' Shashi Tharoor - The Indian Eress
positive,FoE under Modi ji
positive, Country not safe in BJP's hands Shashi Tharoor via
positive," Finally, Modi ji speaks the truth!"
positive, Country safe in bjp hands but who are not live for country are not safe in bjp
positive," Dear PM Modi,"
negative,BJP gonna form the govt let sidda plan what ever he can.. But like the Song Pappu can't Dance S...
positive, The world has been inspired by Mohandas Karamchand Gandhi. But Mr Modi does not even know the correct name of the Father of
positive," Hey modis mouthpieceji, will there be any enquiry into magical abilities to turn k into crore in one year;"
