Sentiment,
negative,"HOW THIS IDIOT REMAINS IN CONGRESS, I'LL NEVER KNOW! ENJOY THIS SHORT TRIP DOWN WATERS MEMORY LANE :Reclaiming Her"
negative," Congress only alternative is state, centre  MP Deepender Singh Hax s"
negative," More than Cong,BJP,Rahul or Modi... Todays Chanakya prestige on stake now...Hit on th...Will re-establish again afte"
negative, When congress and BJP attack each other.
positive,Why did you do something about drug cost when yall had the Congress. To busy Lizram.
negative, The clock is ticking to save ! Send a message to Congress by signing our petition at and
negative,The cheek congress from knowing there are more who share the blame and those will nev
negative,'Congress' Sharif moment?' BJP on cases against P Chidambaram's family U via
negative," ""Chidambaram has foreign assets and hence Rahul must investigate"""
negative, How many innocent Sikhs were killed by Congress goons in Delhi. How many Kashmiri Pandit were killed
negative, DPCC President Shri. addresses the Media after Delhi Congress Massive Workers Candle March against CCTV Scam Open?
negative," ""Why didn't Congress meet Bhagat Singh in Jail?"""
negative,Why didn't Congress make Patel tax s
negative," As a scientist and medical researcher, I know our healthcare system inside and out. In Congress, Ill be a champion fo"
negative,Congress and Pakistan are walking straight into a trar Ar
negative,When the attorney for an adult film actress is doing more to investigate the attack on the republic than all congre
negative," Now, in the light of the confession by Sharif, RSS &amp; India not only deserves an apology from congress leaders with  Con"
negative,"That's what Congress politics is all about,.... post independence ?"
negative, The great Congress IT cell head Ramya and great FoS champion Prakash Raj skip from casting their votes!
negative,Investigation of it's members is none of BJP's business.
negative,"On /May2018,at GUBBI GATE Junction,TUMKUR CONGRESS TEAM HAD A ROADSHOW ALONG WITH THEIR PAKISTANI FRIENDS FROM AL"
negative, Rashtravadi channels along the likes of BC will show BJP as winnins me
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" in it."
positive,Did an end-run around the people and congres
negative, Mindblowing analysis by a Bangalorean!!! Why should Congress lose the Karnataka elections in ?onax s
negative, Bernie Sanders has been in Congress for decades &amp; has ZERO accomplishments. He is a serial whiner and never providestill
negative,Then why does the first amendment specifically prohibit Congress from making a law respecting an establishment
negative,QUINT I FOLLOW YOU TO HEAR U BAD MOUTHING MODI JI AND BJP AND PRAISING MAHARAJAH SHER DIL HINDUSTAAN KE S
negative,Congress Talks Blockchains TransformativePotential CC
negative,"You didnt get any Minister portfolio , hence being a BJP MP advocating for congress pres"
positive," Dear old timers in BJP, by the time elx are over, your party may behave and look more Cong than Cong ever was, and mos"
positive," With all of this information dripping out, we dont hear a peep from congress. Where's the outrage in Congress regardiide."
negative, Rashtravadi channels along the likes of BC will show BJP as winning.
negative,Make no mistakeIt's Advantage Congress
negative,Sirwho got the safest hands?? Sonia Gandhi? Rahul Gandhi? Chidambaram? You? Deve Gowda? Mamata Banerj
positive,HDK in Singapore meeting. Maino deal man working on it. JDS will join Congress if Sidax s
negative," ""Prime Minister Rahul Gandhi should initiate an investigation against Mr. P Chidambram by ordering CBI"" ~ Defence Mber!"
positive,"Congress alleges scam in Delhi government's CCTV camera project, says AAP compromised national security by ... - $NUMDEO)"
positive, Gujarat to Karnataka How Congress upped social media game - Times of India
positive, murders over k babies every single year &amp; Congress is bashing Gina about Waterboarding Terror
negative," How Hong Kong's legislature is turning into a 'loyal', 'patrotic' mini-National People's Congress $NUMBER$"
negative, my friend rahul and her wife shuruti
positive,Non sense . I pray Tomorrow people of Karnataka reject this corrupt go
negative, Watch how Pakistani flag shown and Pakistan Zindabad Slogans Raised in Congress Candidate Feroz Saits rally at North Be
negative,"Paswan mocks Rahul's PM remark, says no vacancy in - Economic Times"
negative,Congress not safe in pappus hand!
negative,Cows not safe in Congress rule land!
negative, Muslim Maulana Appealed Muslims of Karnataka to Vote against BJP in assembly elections. Congress is trying to create com
negative,Ajmal kasab was cought by a brave police guy while rahul gandhi was busy doing party .... It is shameful that ING!
negative,Freak show swimming in the swamp You know youre witnessing peak douhebaggery when a member of Congre
negative, Rahul - I am proud of you. This is the treatment Indian nationals dese law
negative, This is being done to prevent leaks. The 'white hats' know much of the leaking is being done by congressional staffThey
negative," Unlike BJP, Congress doesnt hit below the belt Divya Spandana !"
positive,"Almost years of Congress rule is the reason for the pathetic conditions of Inn ?"""
positive, Karma is knocking on BJP's door. Karnataka will prove that on th. The lie Lama's lies are not selling as ppl want jobs
negative, Congress aims to force Pentagon reform on open burning of munitn at
positive,"Exactly! Before two years Rahul was nothing, then bjp started deploying minis"
negative,Absolutely pathetic political mindset from CM of Karnataka. Ministerial post should not be subjected to castesim. mus
negative,State and central intelligence agencies given to Congress and tough seats between INC vs BJP and INC vs till
positive, Im running for Congress because Im an Alabamian who understands the people of Alabama. From being born to teen pax s
negative," Without action from Congress, net neutrality is set to end on Juax s"
positive," DROPPED BEHIND for eight years by a pessimistic Congress, the Sangguniang Kabataan will now finally continue ax s"
negative,"Yet I still have a sense that if anything depends at all on Congress acting, they wo"
negative,That's enough for a landslide! In the second term screw the heck out of Pappu and his Maa.
positive,"No man,it was congress only who looted india..there are in the power for years but still"
positive, Met and welcomed new Incharge of Bihar Congress Ji at Sadaqat Aashram Patna. Acting PCC Chief Mr Kaukab
negative, Bhandara-Gondia bypolls MP Nana Patole abused Modi &amp; left BJP. Pappu inducted him in Con-party. Now Patole is denied Conax s
positive," Surjit S Bhalla predicts full majority for BJP in Karnataka...Says BJP likely to win around seats,Cong ...In rec"
negative," Ram Subramanian 'Voice of Ram' is an ad-film maker, who is helping Congress with their election campaign. This is the"
negative,Climate change and its impact on the Pacific Congress session is about to begin in the Pyrmont Theatre at C
negative,"The sheer number of scandals can have an impact on a president's approval rating, his relationship with Congresax s"
negative," BJP controls ACB, CBI, Police and all investigative agencies one can think oNORK"
negative,This is exactly why Congress never would have approved of cash going to these people!!
positive," Senior BJP leader &amp; Ex Deputy CM of J&amp;K accuses Indian army of harassing people in J&amp;K. The reason is, army has objected"
positive,Most of the surveys have shown that BJP is likely to emerge as the largest party while the Congress may lose...
negative, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor via
positive," So Kanna LakshmiNarayana who won terms in Congress and just joined BJP this term after being defeated, is now its s all"
negative,That's enough for a landslide! In the second term screw the heck out of Pappu and his ax s
positive, Congress party gave India's freedom struggle a mass movement to gain independence.
negative,"After independence, Congress took a"
negative," Exit polls can go horribly wrong! Why BJP, Congress should prepare for Karnataka surprise examples"
negative,Congress has given indications the $NUMBER$
negative,Than Rahul Gandhi will be in more trouble than PC....
positive, WHY is our country now dependent on to hold our Congress and President accountable? Wax s
positive, The Koch brothers are spending millions to promote the tax bill ahead of the midterms. Here are the members of Conge. T
negative," Without Pakistan, there's no Congress."
positive,"Because of this, Congress people will tear their shirts and run around like mad men."
positive, Congress insulted Cariappa in . So vote for BJP in .
positive,Aurangzeb destroyed Hindu temples in th century. So vote
negative," MLA Munirathna, a serial rowdy attacked BJP woman Corporator Smt Mamatha Vasudev in JP Park,pulled saree ofJDS Corporator Man"
positive,% of our Senators and Congress hold dual citizenship citizenship with Israel Investment Watch Blog
negative,Korea nuclear agreement has to be ratified by Congrtill
positive, Most of the surveys have shown that BJP is likely to emerge as the largest party while the Congress may lose... https:
positive, Congress just made it legal to pay minor league baseball players less than minimum wage &amp; stripped away their overtime prote
negative," In a parallel universe, Congress is grilling Tom from MySpace about your Top friends right now."
negative,"He should care, as should congress who keeps turning a blind eye his absolute BULLSHIT"
negative, Hillary Confidently faces a fifteen hour drilling by Congress. Why? Because she knows she's innocen viaCIA?
positive," Karnataka poll , every one rush to the polling stations and cast your vote . Poll in Karnataka will take its toll on ess."
negative, Congress aims to force Pentagon reform on open burning of munitax s
negative,"'Congress's Nawaz Sharif moment' Sitharaman, Chidambaram in war of words - Times of India"
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks ax s"
negative, The great Congress IT cell head Ramya and great FoS champion Prakash Raj skip from casting their voteax s
negative," Rahul Gandhi had worked hard and he could impress most of the people. If Congress still loses Karnataka, blame shouldCong"
negative, India Today's exit poll predicts victory for Congress in Karnataka.ey
negative,Congis are eerts in worsening the enemity between two persons/community/nations.Cong was silent knowing Pak'
negative,"While for the Congress, this battle is one for survival, for the BJP, it is a litmus test of the potency of their"
negative," There is a non-bailable warrant against RR Nagar Congress MLA, Munirathna, in the fake voter ID case. But he's present  all"
negative," Youth is fed of this bjp congress cycle looting them, playing with their future."
positive, WHY is our country now dependent on to hold our Congress and President accountable? W via
negative, India not safe in BJPs hands as nation cannot be built on divides ShashiTharoor
negative," The sheer number of scandals can have an impact on a president's approval rating, his relationship with Congress, and how h"
positive, Levi Sanders Bernie Sanders' son carries his father's passion to fight for the disenfranchised into bid for congress.
positive,House Intelligence Committee Chairman Devin Nunes threatened to hold Jeff Sessions in contempt of Congress for fail
negative, We need to stand with the artists who helped create some of our most iconic music. Tell Congress you https://t
negative,Sir then why BJP hard core supporters say they are for clean politics. So at the end its all about
positive, This tweet is helping drive a lot of calls and emails to Congress at a crucial moment ahead of the vote. Every RT htill
negative,"Viewpoints Current Drug Pricing Policies Make Suckers Of Everyone; Congress Needs To Sign Bill, Help Out Veterans"
negative,What it will take is a Congress that is no longer .
negative,Shut this nonsense down! Come on Sessions and Congress!
negative, Bernie Sanders endorses Rich Lazer for Congress
negative," CONGRESS / OPPOSITION / PAKISTAN &amp;MUSLIMS R restless , desperate n offensive sensing ri"
negative, Found this lovely picture of ji in Nabrangpur district congress office. He met Dongria Kondh tribes during hi
negative,Sir please do visit Telangana state also to strengthen Congress Party for the upcoming Assembly elections.
negative, Eert Told Congress Unborn Babies Can Feel Pain Starting at Weeks U
negative," I am running for Congress in the th Congressional District to defend the interests of our district, our state, our natts t"
positive,"Dem doctor running for Congress calls out politicians for ""mansplaining"" health care"
negative,Papu PK iteli India.... black work black money power congress party India
negative, What a flop show ! Looks like is sensing defeat so getting ready to blame Rahul $NUMBER$
negative,"Congress's bandana, really rich pop can twister, and Congress"
positive,"Congress was then in sleep mode when in govt. , oblivious of the problems faced by people"
negative, By executive order the President should demand the release of a list of every member of Congress who ever used tarror
positive, Media narrative - if Cong wins Punjab entire credit to Captain ... If they win Karnataka credit to Siddaramaiah... MP - Jfeel
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks DEO)"
negative, Elect Levi Sanders for Congress!
negative,"If Bruce ever misses his BALLS, he can get advice on how to cope from just about ANY MEMBER of Congress."
negative,"Hmm, its okay to abuse Sonia and the Congress in the most vulgar, vilest terms but when it comes tour u"
positive,"If the Congress wins in Karnataka, India Inc will get more asserttill"
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" inn at"
negative,Yeh sab chore hy shirf desh ko lute gee or mule ko support me rahe gee ... congress chor party
negative, Only makes sense. Congress is miserably failing to get anything done.
positive,"Signature needed to tell Congress Postal banking, not payday lending via"
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" into!!"
negative," Hmm, its okay to abuse Sonia and the Congress in the most vulgar, vilest terms but when it comes to Modi, its"
negative,One way to help all kids is to encourage congress and schools to lower education costs for everyone.
negative,"Dalit CM by congress is million dollar issue..is congress so sure of winning,the secret di"
positive,Nice to hear Cong +..... but I want to say that Confidence is
negative,RIGHT EXIT POLL .. CONGRESS IS FORMINGtill
negative,"Congrats to you and Congress party, as a CM you have made lot of efforts to set development benchmark"
negative,I am running for Congress &amp; ask for your support
positive, Blaming the RSS for /11 was a well crafted strategy of the Congress party to create a spectre of Hindu terror with aax s
negative, Ppl say is a weak leader. I disagree. Raga is going to b the strongest PM we have had. The way he is empoweCong
positive,Calling Sonia by her real name is abuse Rahul Gandhi
negative,And half the crazy people in the world are in CongBER$
negative,"Congress, apparently, can't be shamed on this or any issue"
negative, Cowardly Representatives that are leaving congretill
negative," Congress President Rahul Gandhi,who is himself out on bail how he will come out &amp; tell India if he is going to investiga"
negative,"LOL! Nirmala Sitaraman will be sacked or will continue as Defence Min is Modi's problem, Ask ur leader Chidambaram"
negative,"She was doing what congress, which u voted in, told her to do. It was lawful. Do you e"
negative,Congrats Rahul ..many more to come
positive, Calling Sonia by her real name is abuse Rahul Gandhi
negative,"PM Modi On Speaker Mode Or Airplane Mode, Never Work Mode Rahul Gandhi"
negative, Let that sink in An adult film star and her attorney are holding the President more accountable than the Congrkids
positive, Calling Sonia by her real name is abuse Rahul Gandsary
negative," Karnataka Exit Polls on various channels, lowest to highest prediction---"
positive, yrs of continuous development in Gujarat and Congress has made Caste an issue- what does it tell u about us as a society
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" in th"
negative,"Sir, Congress will get to seats. I must congratulate you for your brave leade"
negative, UFO hunt US Congress proposes $10million fund to find aliens with Artificial Intelligence - v
positive,"Congress is Corroupt top to bottom, throw out these filthy people to their real place in jail.A partynt T"
negative," This is Hindustan! A Fatwa free country. Dear RG , That's how you buy votes, By terrorizing people."
negative,The Congress passed legislation that water Poisoning victims still get nothing until they are on treatme
negative,"Congress and BJP"" both parties are ruling since long time. But any party can't bring atmosphere like"
negative," Rep Darrell Issa and are ""Lying Through Their Teeth"" to Congress and Lied to Spy on (V"
negative,Honorable Members of Congress and Senatotill
negative,Thanks to Congress and sickularists they have been able to reach out in many parts in India ..
negative,"The one maintained by Congress is has the effect of making that citizenship ""paramount and do"
positive, we eed and Congress favorite Aziz Burney who authored /11 RSS conspiracy within a week of its pd in
negative, HAMAS is running for Congresso w
negative,Emerhor attributes peaceful Delta APC LG congress to unityonce
positive,He doesn't have the authority to tell Congress where to take a shit.
negative,Congress is having acute political glaucoma.
negative, A brahmin &amp; Shiv Bhkath surely knows how to donate to a priest at temple after pooja. Our Pappu is used to taking and
positive,"BJP are professionals in diverting attention from their sins. Cry thief before you, the real thief, can b"
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks  UAE"
negative," This is a trap for . As knows Congress is going to lose, he is trying to pin the blame on RaGa h"
positive,Ya i heard a good pronunciation from Shri rahul gandi... very good...
negative,"Anyone using ""mansplaining"" unironically should be labeled unfit for congress &amp; healthcare professions."
negative, The Rajasthan Election campaign started by Congress ProxiCong
negative, Dear here is a person the are putting up for Congress in Caless.
negative, Scott Pruitt took bucket list vacations on the taayer dimCong
negative, Congress HAS NEVER improved itselt; it only gets WORSE and WORS bed
negative, Dear here is a person the are putting up for Congress in CalCong
negative, Let that sink in An adult film star and her attorney are holding the President more accountable than the CongrEO).
negative,"Next she will ask rahul Gandhi to roll out her rotis for her,silly defenceless minister,needs somet"
negative,Most of the exit poll results have manufactured results to please congres
negative,Honorable Members of Congress and Senato00 f
negative," HAD I BEEN RAHUL GANDHI'S ADVISOR, I COULD VE ASKED RAHUL TO TAKE MAX INTEREST IN THIS AND VISITIN"
negative,Since we can't count on Congress for the wall. Why can't we start a Build the Wall Fund where thos
negative, I am saddened to see this young soldier fighting with death. WHAT RAHUL GANDHI WILL SAY ON THIS ?
negative,"No parallel LG congress in Oyo, says APC===has been published on Vanguard News -"
negative, By executive order the President should demand the release of a list of every member of Congress who ever used taVotaka
negative, Bhandara-Gondia bypolls MP Nana Patole abused Modi &amp; left BJP. Pappu inducted him in Con-party. Now Patole is denied Cone by
negative, By executive order the President should demand the release of a list of every member of Congress who ever used taax s
positive, This tweet is helping drive a lot of calls and emails to Congress at a crucial moment ahead of the vote. Every RT hh in
negative, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor C
positive,What this hateful woman doing in congress?? Can somebody tell me. OMG Nancy please s $NUMBER$
negative,David Clifford for Congress in the th District California
negative,Yes those khalistan supporters and akalis were the main culprits... how come justice is given to hindus k
negative,George Bush Pedophile Sex Ring and Blackmail of Congress $NUMBER$ via
positive," Liar-in-Chief, Congress Govt always blamed only Pak for /11. Never ever did it blame RSS - though RSS has been responsibtill"
negative," My family protected these mountains generations ago, and I'll do the same in Congress. I'm ready to fight for the people"
negative,What other alternatives do we have if Congress will do absolutely nothing to keep him and his admin in check?
negative, Bernie Sanders has been in Congress for decades &amp; has ZERO accomplishments. He is a serial whiner and never providesax s
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" intill"
negative,"The whole net neutrality thing is bugging me rn because congress knows what we want, but doesn't care"
negative,And just in case that is too cryptic for some of y'all...we must flip the hell out of BOTH chambers of Congress...a
negative,Fine with Dalit chief minsiter if Congress says so:
negative,"Other way, it is a confession by itself, the congress is losing Karnataka election badly."
negative,Honorable Members of Congress and Senator abo
positive, Calling Sonia by her real name is abuse Rahul Gandime?
positive, One of the many reasons why the is hurting middle-class families and why Congress needs to . htt
positive, Id vote for her if she were a NC candidate. Hope she is successful. We can use that spirit in Congress.
negative,Agreed..i think cong may just pull thru in karnataka
negative," If Congress wins, great campaign by ..If Congress loses, lost again."
negative, Congratulations to for being appointed as National President of Indian Youth Congress.
negative,All fools are free to believe that Congress won't beg in front of JDS and HDK is in Singapore for some treatment
negative,Now u ppl have woken up . Ur channel is sold to congress party completely; no doubt in aker
negative,You will go down in history as the next joe McCarthy. You deserve to be working in a chain gang not congress
negative, Addressed Amguri BCC office bearers in an executive meeting today. Amguri Congress opposes the proposed Citizenship (Amen
negative,Mocking Rahul Gandhi too much over PM aspirations may become a Chaiwala mont T
positive,"While Cong was trying to trend MP/Chattisgarh/Raj yesterday ahead of assembly polls by end of , BJP is already"
positive, If you want Maxine Waters out of Congress and in retirement. Donate to the campaign at andfurt
negative," A direct attack on Modi by . Is she fed up and tired with his rhetoric, lies and lack of performance?"
negative,You are living in a Dreamland. There many failures than achievements in Modi d
negative,"TAKE ACTION! Tell Congress to Pass the Local FARMS s, o"
negative,"Wake Up Hindu Kumbhkaranas! For a developed India, politicians like Tipu, Pappu. Mamata, Mu"
negative, After Nawaz Sharif's confession Congress and its leaders owe an apology to RSS and the nation for floating their false t
negative, Bernie Sanders has been in Congress for decades &amp; has ZERO accomplishments. He is a serial whiner and never providesve..
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks till"
positive, Calling Sonia by her real name is abuse Rahul Gandax s
negative, Congress must do more to help working moms and their children - - NY Daily ax s
negative,Female Dems running for Congress in TN this year:
negative,everytime i gurgitate a whopper i have the strength to shut down congress for days
negative, CBN should have learnt a lesson from Cong's downfall. It is their appeasement policy that has brought down the
negative,He later went on to become a House Representative in Congress post civil-wa wit
negative," While for the Congress, this battle is one for survival, for the BJP, it is a litmus test of the potency of their Modi Wave"
negative,For Congress leaders no business is bigger then
negative,Anchor attacks Rahul for losing all elections one after the othe His
negative,Appeasement politics by CBN now! Seems to be following the footsteps of congress to save his post and for votes. Is $NUMBER$
negative,yo do you know about ? Her parents are from Afghanistan and she's a Dr running for congress. Impressive lady.
negative,Emerhor attributes peaceful Delta APC LG congress to unity list
negative, Its long past time for congress to repeal the Dickey Amendment and consider common sense reforms based on actual scid like
negative,And this all does not suit to CONGRESS agenda.
positive, Calling Sonia by her real name is abuse Rahul GandDEO)
negative,"No Priti, what he meant to say is that it was very safe under Congress nd hence he got his wife murdecont"
negative, Congress HAS NEVER improved itselt; it only gets WORSE and WORSax s
negative, Bernie Sanders has been in Congress for decades &amp; has ZERO accomplishments. He is a serial whiner and never providesres.
negative,forty3 is guarded in their assessment...90..90..for bjp...cong
negative,"Honorable Members of Congress and Senators,"
negative, This is absolutely shocking. In Dharwad Congress workers have distributed cash &amp; allegedly polling officers are influencing vo
negative,truly congress' Jay Amit Shah moment !! $NUMBER$
negative," Big sermons on propriety and lessons on democracy by campaigning against Hindus and their culture,eect too much from otill"
negative," Good job Divya, your twitter handle has become synonymous with the Congress. Well done, cocont"
negative, 'Congress' Sharif moment?' BJP on cases against P Chidambaram's family U via
negative,Tinubu wades in to save Lagos APC ward congress crises
negative,Congress Shaped ...................
negative,".............The Man ""RahulGandhiji"""
negative, Another giving clear majority to BJP in .
positive, Rofl! It was because of Congress that they could enter our country unnotinate
negative,India is perfectly safe &amp; fine in the hands of Modi &amp;BJP. But Congress future is uncertain till Modi is in power.
positive, we eed and Congress favorite Aziz Burney who authored /11 RSS conspiracy within a week of its pcher
negative,Or send them on recess and appoint all pending nominees as recess appointments. Stupid ass Congrt! c
negative,"By Deriding Rahul, Modi Proves He Is Rattled By Him via"
negative,One easy way to stop corruption in Congress via
negative,in this interesting article ees Congress Meatballs from top to bottom. A must read.
negative, This is what has to deal with everyday with our Congress and fake medres.
negative,"Congress knows because they are complicit. And the ""shush fund""...they're hoping we have short memories..."
negative,"Forget the Country Mr Tharoor,Some would argue that even their own wives are not safe in the hands of CONgress Ldr"
negative, Working parents deserve a voice in Congress and this will help them get there. And there's even more we can do to elimi
negative,And dumb sanghis will think this was all because of Modij Ret
negative, This is something I wrote &amp; sent to when the Congress was addressing DACA...It is st
positive,You don't appear very confident of BJP victory in Karnataka since you are talking about Cong's plan to
positive, Blaming the RSS for /11 was a well crafted strategy of the Congress party to create a spectre of Hindu terror with ay ha
negative, Daniel Meuser is quite possibly the biggest RINO to ever run for Congress in law
negative," Wake Up Hindu Kumbhkaranas! For a developed India, politicians like Tipu, Pappu. Mamata, Mulayams,"
positive,Sen. Chiz Escudero and Cong. Evie Escudero cast their vote at precint number -A in Buhatan Integrated Nationa
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" inday."
negative, Case booked against Congress IT Cell head Ramya for insulting the Chief Justice of India and calling him bench fixer!
negative,Yes. has changed their agenda and narrative that is contrary to thinking of 'Hindu Hruday Samrat' Balasah
negative,My wife lobbies for childrens' health. Has continually kept pressure on Congress to reautho $NUMCong
negative," The only channel/agency giving Cong the edge in exit polls is n , rest all going with the BJP....was ce for"
positive, We are very-very confident that Congress party will come back to power with complete majority CM Siddaramaiah in Mysu
negative,Isnt it insane to compare Mr Modi with Rah $NUMBER$C1
negative, Bernie Sanders has been in Congress for decades &amp; has ZERO accomplishments. He is a serial whiner and never providesses.
negative, I'm working every day to make sure this is Nunes's last term in Congress. Join my fiy ha
negative," Now, in the light of the confession by Sharif, RSS &amp; India not only deserves an apology from congress leaders with hey ha"
negative," Highlights of th Caribbean Regional Congress. Executive Director Jackson ""Damage to road infrastructure haican"
positive,"BJP-RSS men, particularly unmarried RSS men involved in maximum rape cases in Madhya Pradesh, claims state Congy ha"
positive, The NSC spying on White House staff to facilitate a political purge is a new level of crazy. Congress needs to figure ouy ha
negative," No parallel LG congress in Oyo, says APC===has been published on Vanguard Ney ha"
positive,"P Chidambaram, former cabinet minister of India holding many important portfolios under congress rule, I thoughy ha"
negative, India not safe in BJP's hands as nation cannot be 'built on divides' Shashi Tharey ha
negative,I suggest a slogan to Congress for the next LS election.. ''ELECT A GOVERNMENT THAT WORKS'' $NUMBER$
negative," Asserting that a nation cannot be built on divides, Congress MP Shashi Tharoor on Sunday said India was not safe in the han"
negative, in this interesting article ees Congress Meatballs from top to bottom. A must read.
negative,"And that is mostly followed by JNU, some journalists supporting tukdetukde gang and congress gy ha"
negative," BJP controls ACB, CBI, Police and all investigative agencies one can think oess."
negative,What utter tripe! If not for brave Tukaram Omble congress would've pinned the whole thing on RSS &amp; BJP! Shameless l
negative,Congress and Pakistan are walking straight into a tray ha
negative," ""Rahul Gandhi's statement that he was ready to become the PM in didn't mean that he was over confident. Congress is th"
negative, Fine with Dalit chief minsiter if Congress says so:
positive, Congress did nothing in years.poet
negative, No more congress gunda raj So feeling discomme Hey
positive,Now Nawaz Sharif admit that it was Pakistan who planned /11 and had sent the terrorist. Now why RSSorg is
negative,Here Radeep n Congress got hard chappals hittings on faceime.
negative, Will Congress President Rahul Gandhi investigate this? It can't be an oversight. How can P. Chidambaram forget to disclose h
positive, Calling Sonia by her real name is abuse Rahul Gandy )-
negative,I think v both fighting for a same cause but with two different realities... n yes the congress sponsored b D
negative,Siddaramaiah says he will willingly adhere to it if Congress decided on making a Dalit leader the chief minisy ha
negative, BREAKING NEWS Congress supporting BJP in karnataka to go ahead..
positive, Calling Sonia by her real name is abuse Rahul Gandod's
negative,Markets indicate a flat opening as predict a hung assembly in Karnataka
negative, Voting in RR Nagar constituency postponed to May th. FIR registered against sitting Congress MLA on fake voter ID scay ha
negative,Congress aims to force the Pentagon to reform how it burns unused toxic munitions in the open air.
negative,"Karnataka Election Siddaramaiah Dismisses Exit Polls as 'Entertainment', Tells Cong Workers to Relax D"
negative," Women's rights are human rights. I'll fight to keep Congress from moving this nation backwards, and I'll vigorously opp"
negative,So He conceded defeat for congress
negative," Bay State representation in Congress. , , , ... pathetic. End the non"
negative, This is being done to prevent leaks. The 'white hats' know much of the leaking is being done by congressional staffers.
negative, Please sign this petition to congress to supportax s
positive," So, this one says the regional and national media should have influenced the voter by showing Congress wave, on the day of y ha"
positive,"million dollars, over two years, on the Benghazi investigation (the real root of which was the Rep. Congresy ha"
positive, BJP asks Congress President whether he will investigate 's foreign ass all
negative,All congies have been instructed for not to use brain more than what pappu ols.
negative,Time to kick the NRA out of congress.ceed
positive,"Speaking of people swimming in the swamp, heres the swampiest creature in Congress Devin Nunes."
negative, exit poll  A hung Karnataka Assembly with BJP as the single largest pary ha
negative," Tell Congress Low-income families need nutrient-dense fresh , not 's boxes of processed fa"
negative,C for congress c for corruption
negative, Congress Minister in unaccounted cash scam not only reveals Corruption but also Truth about how Congress has
negative, dies June thending the Internet as we know itunless Congress passes the CRA resolution blockingy ha
negative,International Extreme Sports Medicine Congress-- en
negative, Rahul - I am proud of you. This is the treatment Indian nationals desey ha
negative,"No parallel LG congress in Oyo, says APC - Progressives Congress, APC, in Oyo State"
negative," This traitor should be, at minimum, eelled from Congress. Thay the Speaker is enabling, weaponizing and shielding hy ha"
positive," As FIR been registered against Cong MLA in fake ID card scandal, will u now apologise to the people o"
negative,Karnataka exit poll Why a win for Congress will change the game for BJP in Lok Sabha elections D via
negative," BJP controls ACB, CBI, Police and all investigative agencies one can think oax s"
negative,"The rogue political leaders like Tipu, Pappu, Mulayams, Lalus, Communists want to dump y ha"
positive, Dear Election Commission while Karnataka polling is on I got a promotional campaign audio call &amp; SMS to vote Congresy ha
positive, we eed and Congress favorite Aziz Burney who authored /11 RSS conspiracy within a week of its pEO).
negative,Tomorrow karnataka election result!
positive, we eed and Congress favorite Aziz Burney who authored /11 RSS conspiracy within a week of its py ha
negative," Cannot understand the Indian psyche for voting corrupt ,traitor party the Congress who have done nothing in last yrs. Ho"
negative,The red Congress will die with donny among y ha
positive," BJP proved, even son of a poor mother who is a chaiwala can become PM. &amp; congress wants to prove even a fool who is son of a"
negative,Time for congress to call twitter to the Capitol Hill.
negative,"A must read article by on the only agenda of Italian National Congress to divide Hindus and bring down Ms, o"
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks ngre"
positive,Except Modi very true. But then it's our duty to bring them in good numbers and then th $NUMy ha
negative,"Wake Up Hindu Kumbhkaranas! For a developed India, politicians like Tipu, Pappu. Mamata, Mulayams, Lalu"
positive," Maryland House candidate says in a new ad that she's running for Congress because there's too much ""mansplaining"" ine th"
negative," After five fifties in a row, Buttler is now among top-five run-getters this season and also completes rCong"
positive, Rahul is a janudhari Hindu when doing a temple run during Gujarat election..but Modi is doing vote politics when he visity ha
negative,"Rahul, bookings are subject to cab availability in your vicinity. Apologies for any inconvenience caused due to this."
negative,N all the Congress workers are started yo provide shulters to those injured n lost their homes. Doy ha
positive," As is in &amp; around Karnataka talking about women empowerment, please let us know what happened to Sukanya &amp; her"
negative," ""Prime Minister Rahul Gandhi should initiate an investigation against Mr. P Chidambram by ordering CBI"" ~ Defence Mump?"
negative,Congress plan to gut landmark environmental legislation is even worse than you thought.
negative,C for congress c for corrupy ha
positive," Mister , your wife was murdered on th January . At that time, the Congress govt was in power. Looks an d"
positive,It wasn't considered torture then. It wasn't illegal. Congress signed off on it. Aas n
negative,Yes. Communal Politics by your former allies Congress jinke aap B team ho.
negative, Let that sink in An adult film star and her attorney are holding the President more accountable than the Congry 'B
